lambda	amp
913.335	0.027
913.457	0.028
913.579	0.027
913.701	0.027
913.824	0.027
913.946	0.029
914.068	0.029
914.190	0.028
914.312	0.028
914.433	0.028
914.555	0.028
914.677	0.029
914.799	0.029
914.921	0.030
915.042	0.029
915.164	0.029
915.286	0.028
915.407	0.029
915.529	0.029
915.650	0.029
915.772	0.030
915.893	0.031
916.014	0.030
916.136	0.030
916.257	0.030
916.378	0.030
916.500	0.031
916.621	0.031
916.742	0.031
916.863	0.032
916.984	0.031
917.105	0.031
917.226	0.031
917.347	0.031
917.468	0.031
917.589	0.031
917.710	0.031
917.831	0.031
917.952	0.030
918.072	0.028
918.193	0.028
918.314	0.029
918.434	0.027
918.555	0.028
918.675	0.028
918.796	0.027
918.916	0.027
919.037	0.028
919.157	0.028
919.278	0.029
919.398	0.027
919.518	0.027
919.639	0.027
919.759	0.026
919.879	0.025
919.999	0.024
920.119	0.025
920.239	0.026
920.359	0.025
920.479	0.025
920.599	0.024
920.719	0.024
920.839	0.023
920.959	0.024
921.079	0.024
921.198	0.022
921.318	0.021
921.438	0.022
921.557	0.023
921.677	0.023
921.797	0.023
921.916	0.024
922.036	0.025
922.155	0.025
922.274	0.025
922.394	0.026
922.513	0.028
922.632	0.027
922.752	0.027
922.871	0.028
922.990	0.028
923.109	0.028
923.228	0.029
923.347	0.030
923.466	0.029
923.585	0.030
923.704	0.030
923.823	0.030
923.942	0.030
924.061	0.030
924.180	0.030
924.298	0.030
924.417	0.029
924.536	0.029
924.655	0.030
924.773	0.029
924.892	0.029
925.010	0.029
925.129	0.029
925.247	0.029
925.366	0.028
925.484	0.028
925.602	0.028
925.721	0.027
925.839	0.029
925.957	0.029
926.075	0.029
926.193	0.029
926.312	0.028
926.430	0.030
926.548	0.030
926.666	0.029
926.784	0.028
926.902	0.028
927.019	0.028
927.137	0.029
927.255	0.030
927.373	0.030
927.491	0.030
927.608	0.030
927.726	0.030
927.844	0.029
927.961	0.029
928.079	0.028
928.196	0.029
